hand,sb_push_freq,bb_call_freq
AQo,1,1
A4o,1,1
AA,1,1
JJ,1,1
KJo,1,1
QQ,1,1
ATo,1,1
A9o,1,1
A7o,1,1
A8o,1,1
AKo,1,1
AJo,1,1
TT,1,1
A6o,1,1
KK,1,1
A2o,1,1
QJo,1,1
ATs,1,1
KQo,1,1
99,1,1
A8s,1,1
QTo,1,1
AJs,1,1
KQs,1,1
KTo,1,1
A5o,1,1
55,1,1
AKs,1,1
A7s,1,1
Q9s,1,1
KTs,1,1
AQs,1,1
77,1,1
K6o,0,0
A4s,0,0
66,0,0
K9o,0,0
88,0,0
A2s,0,0
K7o,0,0
JTs,0,0
A3o,0,0
44,0,0
QJs,0,0
JTo,0,0
A6s,0,0
J9o,0,0
QTs,0,0
K2s,0,0
KJs,0,0
T9s,0,0
A9s,0,0
J9s,0,0
A3s,0,0
K9s,0,0
22,0,0
K4s,0,0
A5s,0,0
K8s,0,0
33,0,0
Q8s,0,0
K6s,0,0
K7s,0,0
Q9o,0,0
Q7s,0,0
Q6s,0,0
93s,0,0
75s,0,0
K5s,0,0
K3s,0,0
J8s,0,0
Q5s,0,0
K8o,0,0
52s,0,0
T3s,0,0
Q2s,0,0
J5s,0,0
76s,0,0
T8s,0,0
85s,0,0
64s,0,0
J3s,0,0
62s,0,0
T5s,0,0
65s,0,0
92s,0,0
84s,0,0
82s,0,0
73s,0,0
J6s,0,0
J4s,0,0
94s,0,0
97s,0,0
T7s,0,0
87s,0,0
Q3s,0,0
Q4s,0,0
72s,0,0
95s,0,0
32s,0,0
43s,0,0
83s,0,0
J7s,0,0
74s,0,0
T2s,0,0
J2s,0,0
98s,0,0
T4s,0,0
T6s,0,0
96s,0,0
86s,0,0
63s,0,0
42s,0,0
53s,0,0
54s,0,0
Q4o,0,0
J8o,0,0
K4o,0,0
K3o,0,0
Q6o,0,0
T2o,0,0
62o,0,0
J3o,0,0
T6o,0,0
53o,0,0
73o,0,0
52o,0,0
Q8o,0,0
Q7o,0,0
85o,0,0
K2o,0,0
43o,0,0
T7o,0,0
Q2o,0,0
98o,0,0
87o,0,0
J4o,0,0
T9o,0,0
T5o,0,0
J2o,0,0
K5o,0,0
63o,0,0
42o,0,0
86o,0,0
92o,0,0
76o,0,0
32o,0,0
82o,0,0
84o,0,0
96o,0,0
T4o,0,0
T8o,0,0
74o,0,0
J5o,0,0
54o,0,0
64o,0,0
97o,0,0
75o,0,0
Q3o,0,0
95o,0,0
J6o,0,0
Q5o,0,0
J7o,0,0
T3o,0,0
83o,0,0
94o,0,0
93o,0,0
72o,0,0
65o,0,0
